"Link of the Product","SKU","CampaignID","CampaignName","Keywords","Keywords Type","Current Bid","Adjust Bid","Ads Rank","Target Row Or Not","Max Bid"
"https://www.ebay.com.au/itm/187196293335","TXRTB48704","110865958013","TX704","tool bag","PHRASE","0.5",,"P1 - 4/72","True","2.4"
"https://www.ebay.com.au/itm/187196293335","TXRTB48704","110865958013","TX704","tool bag","EXACT","0.85",,"P1 - 4/72","True","2.4"
"https://www.ebay.com.au/itm/187196293335","TXRTB48704","110865958013","TX704","tool tote","EXACT","0.39",,"P1 - 2/72","True","2.4"
"https://www.ebay.com.au/itm/187196293335","TXRTB48704","110865958013","TX704","tool bag heavy duty","EXACT","1.59",,"P1 - 3/72","True","2.4"
"https://www.ebay.com.au/itm/187196293335","TXRTB48704","110865958013","TX704","tool bag with wheels","EXACT","0.9",,"P1 - 1/72","True","2.4"
"https://www.ebay.com.au/itm/187031698820","TXFCK4V264","87669913013","TX264","foam cutter","EXACT","0.38",,"P1 - 10/72","True","1.77"
"https://www.ebay.com.au/itm/187031698820","TXFCK4V264","87669913013","TX264","foam cutter","PHRASE","0.32",,"P1 - 10/72","True","1.77"
"https://www.ebay.com.au/itm/187031698820","TXFCK4V264","87669913013","TX264","styrofoam cutter","EXACT","0.42",,"P1 - 4/72","True","1.77"
"https://www.ebay.com.au/itm/187031698820","TXFCK4V264","87669913013","TX264","hot knife foam cutter","EXACT","0.82","0.92","N/A","True","1.77"
"https://www.ebay.com.au/itm/187031698820","TXFCK4V264","87669913013","TX264","hot wire foam cutter","EXACT","0.58",,"P1 - 14/68","True","1.77"
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","outdoor furniture cover","EXACT","0.7","0.8","N/A","True","1.05"
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","outdoor furniture cover","PHRASE","0.6",,"N/A","True","1.05"
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","waterproof outdoor furniture cover","EXACT","0.62","0.72","N/A","True","1.05"
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","heavy duty outdoor furniture cover","EXACT","0.31",,,"True",
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","square outdoor furniture covers waterproof","EXACT","0.91",,,"True",
"https://www.ebay.com.au/itm/187018319975","KYOFC213CM013-Brown","85517261013","KY013-Brown","outdoor furniture cover square","EXACT","0.91",,,"True",
"https://www.ebay.com.au/itm/186952636254","SLEO12P221",,"SL221","essential oils","EXACT","0.5",,,"True",
"https://www.ebay.com.au/itm/186952636254","SLEO12P221",,"SL221","essential oils","PHRASE","0.32",,,"True",
"https://www.ebay.com.au/itm/186952636254","SLEO12P221",,"SL221","essential oils set","EXACT","0.81",,,"True",
"https://www.ebay.com.au/itm/186952636254","SLEO12P221",,"SL221","diffuser oils","EXACT","0.5",,,"True",
"https://www.ebay.com.au/itm/186952631532","SLODEOS222",,"SL222","diffuser","EXACT","0.6",,,"True",
"https://www.ebay.com.au/itm/186952631532","SLODEOS222",,"SL222","diffuser","PHRASE","0.35",,,"True",
"https://www.ebay.com.au/itm/186952631532","SLODEOS222",,"SL222","oil diffuser","EXACT","0.6",,,"True",
"https://www.ebay.com.au/itm/186952629545","SLOD02L220",,"SL220","diffuser","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186952629545","SLOD02L220",,"SL220","essential oil diffuser","EXACT","0.5",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","salt and pepper grinders","EXACT","0.91",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","salt and pepper grinders","PHRASE","0.25",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","pepper mill","EXACT","0.91",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","electric coffee grinder","EXACT","0.5",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","salt and pepper","EXACT","1.2",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","electric salt and pepper grinders","EXACT","0.84",,,"True",
"https://www.ebay.com.au/itm/186952626613","SLAGS2P410",,"SL410","salt and pepper grinders electric","EXACT","0.49",,,"True",
"https://www.ebay.com.au/itm/186890399337","TXHDTBP703",,"TX703","tool bag","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186890399337","TXHDTBP703",,"TX703","tool bag backpack","EXACT","0.64",,,"True",
"https://www.ebay.com.au/itm/186890399337","TXHDTBP703",,"TX703","backpack tool bag","EXACT","0.64",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","tool bag","PHRASE","0.5",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","tool tote","EXACT","0.54",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","electrician tool bag","EXACT","0.56",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","tool tote bag","EXACT","0.5",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","tool bag heavy duty","EXACT","0.57",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","tool bag tote","EXACT","0.64",,,"True",
"https://www.ebay.com.au/itm/186890399319","TXTB16H702",,"TX702","open top tool bag","EXACT","0.64",,,"True",
