"Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"TXCS82PC112","TOPEX 82 Piece Electric Screwdriver Set 4v Max Cordless Screwdriver Set CRV Screw Bits","electric screwdriver set","TXCS82PC112","B0C22RPZLJ","P1 - 59 / 60","P1 - 31 / 60","No"
"TXCS82PC112","TOPEX 82 Piece Electric Screwdriver Set 4v Max Cordless Screwdriver Set CRV Screw Bits","screwdriver set","TXCS82PC112","B0C22RPZLJ","P3 - 23 / 60","No","Yes"
"TXCS82PC112","TOPEX 82 Piece Electric Screwdriver Set 4v Max Cordless Screwdriver Set CRV Screw Bits","screwdriver","TXCS82PC112","B0C22RPZLJ","P3 - 22 / 60","No","Yes"
"TXSS100P053","TOPEX 100 PCs Screwdriver Set Non-Slip Precision Screw Bits Sockets Kit w/Oxford Bag","screwdriver","TXSS100P053","B0BDLHH54M","P1 - 59 / 60","P1 - 48 / 60","No"
"TXSS100P053","TOPEX 100 PCs Screwdriver Set Non-Slip Precision Screw Bits Sockets Kit w/Oxford Bag","electrical screwdriver set","TXSS100P053","B0BDLHH54M","P1 - 21 / 60","P1 - 45 / 60","Yes"
"TXSS100P053","TOPEX 100 PCs Screwdriver Set Non-Slip Precision Screw Bits Sockets Kit w/Oxford Bag","jewellers screwdriver set","TXSS100P053","B0BDLHH54M","P1 - 21 / 60","P2 - 29 / 54","Yes"
"TXSS100P053","TOPEX 100 PCs Screwdriver Set Non-Slip Precision Screw Bits Sockets Kit w/Oxford Bag","electronic screwdriver set","TXSS100P053","B0BDLHH54M","P1 - 23 / 60","No","Yes"
"TXSS100P053","TOPEX 100 PCs Screwdriver Set Non-Slip Precision Screw Bits Sockets Kit w/Oxford Bag","screwdriver set","TXSS100P053","B0BDLHH54M","P1 - 23 / 60","P1 - 20 / 60","Yes"
"SLGC10P107","Stelive 10 Pack Glass Food Storage Containers (1040ML&370ML), Glass Meal Prep Containers, Airtight Lunch Bento Box with Leakproof Lids for Kitchen Storage & Organisation, for Microwave, Oven & Freezer","glass food storage containers","SLGC10P107","B0DR7R9CGX","P1 - 24 / 60","P1 - 27 / 60","No"
"SLGC10P107","Stelive 10 Pack Glass Food Storage Containers (1040ML&370ML), Glass Meal Prep Containers, Airtight Lunch Bento Box with Leakproof Lids for Kitchen Storage & Organisation, for Microwave, Oven & Freezer","lunch containers","SLGC10P107","B0DR7R9CGX","No","P1 - 56 / 60","No"
"SLGC10P107","Stelive 10 Pack Glass Food Storage Containers (1040ML&370ML), Glass Meal Prep Containers, Airtight Lunch Bento Box with Leakproof Lids for Kitchen Storage & Organisation, for Microwave, Oven & Freezer","glass containers","SLGC10P107","B0DR7R9CGX","No","P2 - 5 / 60","No"
"SLGC10P107","Stelive 10 Pack Glass Food Storage Containers (1040ML&370ML), Glass Meal Prep Containers, Airtight Lunch Bento Box with Leakproof Lids for Kitchen Storage & Organisation, for Microwave, Oven & Freezer","meal prep container glass","SLGC10P107","B0DR7R9CGX","No","P1 - 41 / 60","No"
"SLGC10P107","Stelive 10 Pack Glass Food Storage Containers (1040ML&370ML), Glass Meal Prep Containers, Airtight Lunch Bento Box with Leakproof Lids for Kitchen Storage & Organisation, for Microwave, Oven & Freezer","glass containers with lids","SLGC10P107","B0DR7R9CGX","No","P1 - 52 / 60","No"
