ReferenceID,Link of the Product,SKU,CampaignID,CampaignName,Keywords,Keywords Type,Current Bid,Adjust Bid,Max Bid,Sponsored Rank,Organic Rank,Is Top 24 Advertised,Recipient,Item Type,Path
0001,https://www.ebay.com.au/itm/187196293335,TXRTB48704,110865958013,TX704,tool bag,PHRASE,0.5,0.6,2.5,P1 - 24 / 70,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0002,https://www.ebay.com.au/itm/187196293335,TXRTB48704,110865958013,TX704,tool bag,EXACT,0.85,,2.5,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0003,https://www.ebay.com.au/itm/187196293335,TXRTB48704,110865958013,TX704,tool tote,EXACT,0.39,0.49,2.5,No,P1 - 6 / 62,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0004,https://www.ebay.com.au/itm/187196293335,TXRTB48704,110865958013,TX704,tool bag heavy duty,EXACT,1.59,,2.5,P1 - 2 / 70,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0005,https://www.ebay.com.au/itm/187196293335,TXRTB48704,110865958013,TX704,tool bag with wheels,EXACT,0.9,,2.5,P1 - 1 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0006,https://www.ebay.com.au/itm/187031698820,TXFCK4V264,87669913013,TX264,foam cutter,EXACT,0.38,,1.77,P1 - 11 / 68,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0007,https://www.ebay.com.au/itm/187031698820,TXFCK4V264,87669913013,TX264,foam cutter,PHRASE,0.32,,1.77,P1 - 14 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0008,https://www.ebay.com.au/itm/187031698820,TXFCK4V264,87669913013,TX264,styrofoam cutter,EXACT,0.42,,1.77,P1 - 14 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0009,https://www.ebay.com.au/itm/187031698820,TXFCK4V264,87669913013,TX264,hot knife foam cutter,EXACT,0.82,0.92,1.77,No,No,No,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
0010,https://www.ebay.com.au/itm/187031698820,TXFCK4V264,87669913013,TX264,hot wire foam cutter,EXACT,0.58,,1.77,P1 - 14 / 62,No,Yes,anne@topex-trading.com.au,项,sites/topex12/Lists/Testhj
