"Reference ID","Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"11","https://www.ebay.com.au/itm/187018319975","No","outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"12","https://www.ebay.com.au/itm/187018319975","No","outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"13","https://www.ebay.com.au/itm/187018319975","No","waterproof outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"17","https://www.ebay.com.au/itm/186952636254","No","essential oils","SLEO12P221","186952636254","No","No","No"
"18","https://www.ebay.com.au/itm/186952636254","No","essential oils","SLEO12P221","186952636254","No","No","No"
"19","https://www.ebay.com.au/itm/186952636254","Stelive 12 Pack Essential Oils Set, Natural Aroma Essential Oils (10ml)","essential oils set","SLEO12P221","186952636254","P1 - 32 / 70","No","No"
"20","https://www.ebay.com.au/itm/186952636254","No","diffuser oils","SLEO12P221","186952636254","No","No","No"
"21","https://www.ebay.com.au/itm/186952631532","Stelive 200ml Ultrasonic Aroma Diffuser and 12Pcs Pure Essential Oils Gift Set","diffuser","SLODEOS222","186952631532","P2 - 3 / 62","No","Yes"
"23","https://www.ebay.com.au/itm/186952631532","No","oil diffuser","SLODEOS222","186952631532","No","No","No"
"24","https://www.ebay.com.au/itm/186952629545","Stelive 200ML Essential Oil Diffuser, Ultrasonic Aromatherapy Diffuser","diffuser","SLOD02L220","186952629545","P1 - 25 / 70","P1 - 16 / 70","No"
"29","https://www.ebay.com.au/itm/186952626613","No","electric coffee grinder","SLAGS2P410","186952626613","No","No","No"
"58","https://www.ebay.com.au/itm/186850688517","No","aroma diffuser","SLAH25L210","186850688517","No","No","No"
"63","https://www.ebay.com.au/itm/186850688410","No","paper towel holder","SLPT11N130","186850688410","No","No","No"
"76","https://www.ebay.com.au/itm/186790415920","Stelive 1000W Smoothie Maker Portable Blender Bottle Juice Shaker Fruit Juicer","commercial blender","SLJL1KW500","186790415920","P1 - 37 / 70","No","No"
"91","https://www.ebay.com.au/itm/186784352636","No","car battery charger","TXBC10A460-10A","186784352636","No","No","No"
"92","https://www.ebay.com.au/itm/186784352636","TOPEX Smart Vehicle Battery Charger, 2A 6V/10A 12V Battery Charger Maintainer","12v battery charger","TXBC10A460-10A","186784352636","P1 - 47 / 70","No","No"
"93","https://www.ebay.com.au/itm/186784352636","No","lithium battery charger 12v","TXBC10A460-10A","186784352636","No","No","No"
"94","https://www.ebay.com.au/itm/186784352636","TOPEX Smart Vehicle Battery Charger, 2A 6V/10A 12V Battery Charger Maintainer","motorcycle battery charger","TXBC10A460-10A","186784352636","P1 - 23 / 70","No","Yes"
"96","https://www.ebay.com.au/itm/186784352636","No","battery charger","TXBC10A460-10A","186784352636","No","No","No"
"104","https://www.ebay.com.au/itm/186704238905","No","folding knife","TXMK2PC059","186704238905","No","No","No"
"105","https://www.ebay.com.au/itm/186704238905","No","pocket knife","TXMK2PC059","186704238905","No","No","No"
"106","https://www.ebay.com.au/itm/186704238905","TOPEX 16-In-1 Multitool Plier Multi Tool & Folding Knife Set with Safety Locking","multi tool","TXMK2PC059","186704238905","P1 - 23 / 70","No","Yes"
"108","https://www.ebay.com.au/itm/186704227004","No","lumbar support car","SLSC450301","186704227004","No","No","No"
"111","https://www.ebay.com.au/itm/186704227004","No","lumbar support cushion","SLSC450301","186704227004","No","No","No"
"112","https://www.ebay.com.au/itm/186704227004","No","lumbar support pillow","SLSC450301","186704227004","No","No","No"
"113","https://www.ebay.com.au/itm/186704227004","No","back support cushion","SLSC450301","186704227004","No","No","No"
"115","https://www.ebay.com.au/itm/186704227004","Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Support Pillow","ergonomic back cushion","SLSC450301","186704227004","P2 - 57 / 62","No","No"
"117","https://www.ebay.com.au/itm/186704217410","No","car seat cushion","SLFC460300","186704217410","No","No","No"
"123","https://www.ebay.com.au/itm/186704217410","No","car seat cushion memory foam","SLFC460300","186704217410","No","No","No"
"125","https://www.ebay.com.au/itm/186621342953","MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack","warehouse rack","MSSU150092","186621342953","P1 - 47 / 70","No","No"
"126","https://www.ebay.com.au/itm/186621342953","No","pallet racking","MSSU150092","186621342953","No","No","No"
"127","https://www.ebay.com.au/itm/186621342953","No","garage shelving","MSSU150092","186621342953","No","No","No"
"128","https://www.ebay.com.au/itm/186621342953","MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack","garage shelf","MSSU150092","186621342953","P1 - 46 / 62","No","No"
"129","https://www.ebay.com.au/itm/186621342953","No","garage shelving","MSSU150092","186621342953","No","No","No"
