ReferenceID,Product URL,Product Title,Keyword,sku,Product ID,Sponsored Rank,Organic Rank,Is Top 24 Advertised,Column1
0019,https://www.ebay.com.au/itm/186952636254,"Stelive 12 Pack Essential Oils Set, Natural Aroma Essential Oils (10ml)",essential oils set,SLEO12P221,1.86953E+11,P1 - 32 / 70,No,No,
0024,https://www.ebay.com.au/itm/186952629545,"Stelive 200ML Essential Oil Diffuser, Ultrasonic Aromatherapy Diffuser",diffuser,SLOD02L220,1.86953E+11,P1 - 25 / 70,P1 - 16 / 70,No,
0076,https://www.ebay.com.au/itm/186790415920,Stelive 1000W Smoothie Maker Portable Blender Bottle Juice Shaker Fruit Juicer,commercial blender,SLJL1KW500,1.8679E+11,P1 - 37 / 70,No,No,
0092,https://www.ebay.com.au/itm/186784352636,"TOPEX Smart Vehicle Battery Charger, 2A 6V/10A 12V Battery Charger Maintainer",12v battery charger,TXBC10A460-10A,1.86784E+11,P1 - 47 / 70,No,No,
0115,https://www.ebay.com.au/itm/186704227004,Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Support Pillow,ergonomic back cushion,SLSC450301,1.86704E+11,P2 - 57 / 62,No,No,
0125,https://www.ebay.com.au/itm/186621342953,MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack,warehouse rack,MSSU150092,1.86621E+11,P1 - 47 / 70,No,No,
0128,https://www.ebay.com.au/itm/186621342953,MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack,garage shelf,MSSU150092,1.86621E+11,P1 - 46 / 62,No,No,
0140,https://www.ebay.com.au/itm/186557922091,Stelive 2-Tier Dish Drying Rack Dish Drainer Cutlery Holder Dish Storage Rack,2 tier dish drying rack,SLDR2LY110,1.86558E+11,P1 - 37 / 70,No,No,
0160,https://www.ebay.com.au/itm/186430602097,TOPEX 13Pcs Drill Socket Adapter Set Impact Socket Adapters Socket Extensions,socket set,TXSA13S254,1.86431E+11,P2 - 28 / 62,No,No,
0163,https://www.ebay.com.au/itm/186430602097,TOPEX 13Pcs Drill Socket Adapter Set Impact Socket Adapters Socket Extensions,socket extension set,TXSA13S254,1.86431E+11,P1 - 28 / 70,No,No,
0174,https://www.ebay.com.au/itm/186400077011,"TOPEX 12V Cordless Impact Wrench with 3/8-Inch Chuck,Torque Max 120 N.m, 6 Socks",cordless impact wrench,TXIW12V230,1.864E+11,P1 - 24 / 70,No,No,
0185,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,random orbital sander,TXES3N1098,1.864E+11,P1 - 67 / 70,No,No,
