ReferenceID,Product URL,Product Title,Keyword,sku,Product ID,Sponsored Rank,Organic Rank,Is Top 24 Advertised,Column1
0011,https://www.ebay.com.au/itm/187018319975,No,outdoor furniture cover,KYOFC213CM013-Brown,1.87018E+11,No,No,No,
0012,https://www.ebay.com.au/itm/187018319975,No,outdoor furniture cover,KYOFC213CM013-Brown,1.87018E+11,No,No,No,
0013,https://www.ebay.com.au/itm/187018319975,No,waterproof outdoor furniture cover,KYOFC213CM013-Brown,1.87018E+11,No,No,No,
0017,https://www.ebay.com.au/itm/186952636254,No,essential oils,SLEO12P221,1.86953E+11,No,No,No,
0018,https://www.ebay.com.au/itm/186952636254,No,essential oils,SLEO12P221,1.86953E+11,No,No,No,
0019,https://www.ebay.com.au/itm/186952636254,"Stelive 12 Pack Essential Oils Set, Natural Aroma Essential Oils (10ml)",essential oils set,SLEO12P221,1.86953E+11,P1 - 32 / 70,No,No,
0020,https://www.ebay.com.au/itm/186952636254,No,diffuser oils,SLEO12P221,1.86953E+11,No,No,No,
0021,https://www.ebay.com.au/itm/186952631532,Stelive 200ml Ultrasonic Aroma Diffuser and 12Pcs Pure Essential Oils Gift Set,diffuser,SLODEOS222,1.86953E+11,P2 - 3 / 62,No,Yes,
0023,https://www.ebay.com.au/itm/186952631532,No,oil diffuser,SLODEOS222,1.86953E+11,No,No,No,
0024,https://www.ebay.com.au/itm/186952629545,"Stelive 200ML Essential Oil Diffuser, Ultrasonic Aromatherapy Diffuser",diffuser,SLOD02L220,1.86953E+11,P1 - 25 / 70,P1 - 16 / 70,No,
0029,https://www.ebay.com.au/itm/186952626613,No,electric coffee grinder,SLAGS2P410,1.86953E+11,No,No,No,
0058,https://www.ebay.com.au/itm/186850688517,No,aroma diffuser,SLAH25L210,1.86851E+11,No,No,No,
0063,https://www.ebay.com.au/itm/186850688410,No,paper towel holder,SLPT11N130,1.86851E+11,No,No,No,
0076,https://www.ebay.com.au/itm/186790415920,Stelive 1000W Smoothie Maker Portable Blender Bottle Juice Shaker Fruit Juicer,commercial blender,SLJL1KW500,1.8679E+11,P1 - 37 / 70,No,No,
0091,https://www.ebay.com.au/itm/186784352636,No,car battery charger,TXBC10A460-10A,1.86784E+11,No,No,No,
0092,https://www.ebay.com.au/itm/186784352636,"TOPEX Smart Vehicle Battery Charger, 2A 6V/10A 12V Battery Charger Maintainer",12v battery charger,TXBC10A460-10A,1.86784E+11,P1 - 47 / 70,No,No,
0093,https://www.ebay.com.au/itm/186784352636,No,lithium battery charger 12v,TXBC10A460-10A,1.86784E+11,No,No,No,
0094,https://www.ebay.com.au/itm/186784352636,"TOPEX Smart Vehicle Battery Charger, 2A 6V/10A 12V Battery Charger Maintainer",motorcycle battery charger,TXBC10A460-10A,1.86784E+11,P1 - 23 / 70,No,Yes,
0096,https://www.ebay.com.au/itm/186784352636,No,battery charger,TXBC10A460-10A,1.86784E+11,No,No,No,
0104,https://www.ebay.com.au/itm/186704238905,No,folding knife,TXMK2PC059,1.86704E+11,No,No,No,
0105,https://www.ebay.com.au/itm/186704238905,No,pocket knife,TXMK2PC059,1.86704E+11,No,No,No,
0106,https://www.ebay.com.au/itm/186704238905,TOPEX 16-In-1 Multitool Plier Multi Tool & Folding Knife Set with Safety Locking,multi tool,TXMK2PC059,1.86704E+11,P1 - 23 / 70,No,Yes,
0108,https://www.ebay.com.au/itm/186704227004,No,lumbar support car,SLSC450301,1.86704E+11,No,No,No,
0111,https://www.ebay.com.au/itm/186704227004,No,lumbar support cushion,SLSC450301,1.86704E+11,No,No,No,
0112,https://www.ebay.com.au/itm/186704227004,No,lumbar support pillow,SLSC450301,1.86704E+11,No,No,No,
0113,https://www.ebay.com.au/itm/186704227004,No,back support cushion,SLSC450301,1.86704E+11,No,No,No,
0115,https://www.ebay.com.au/itm/186704227004,Stelive Ergonomic Back Cushion Lumbar Support Cushion Memory Foam Support Pillow,ergonomic back cushion,SLSC450301,1.86704E+11,P2 - 57 / 62,No,No,
0117,https://www.ebay.com.au/itm/186704217410,No,car seat cushion,SLFC460300,1.86704E+11,No,No,No,
0123,https://www.ebay.com.au/itm/186704217410,No,car seat cushion memory foam,SLFC460300,1.86704E+11,No,No,No,
0125,https://www.ebay.com.au/itm/186621342953,MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack,warehouse rack,MSSU150092,1.86621E+11,P1 - 47 / 70,No,No,
0126,https://www.ebay.com.au/itm/186621342953,No,pallet racking,MSSU150092,1.86621E+11,No,No,No,
0127,https://www.ebay.com.au/itm/186621342953,No,garage shelving,MSSU150092,1.86621E+11,No,No,No,
0128,https://www.ebay.com.au/itm/186621342953,MasterSpec 5-Tier Garage Shelf 1500x700x300mm Warehouse Rack Storage Rack,garage shelf,MSSU150092,1.86621E+11,P1 - 46 / 62,No,No,
0129,https://www.ebay.com.au/itm/186621342953,No,garage shelving,MSSU150092,1.86621E+11,No,No,No,
0140,https://www.ebay.com.au/itm/186557922091,Stelive 2-Tier Dish Drying Rack Dish Drainer Cutlery Holder Dish Storage Rack,2 tier dish drying rack,SLDR2LY110,1.86558E+11,P1 - 37 / 70,No,No,
0142,https://www.ebay.com.au/itm/186441058466,No,body composition scale,MKSSBMI101,1.86441E+11,No,No,No,
0149,https://www.ebay.com.au/itm/186441058466,Monika Smart Scale for Body Weight Fat Muscle Mass Bluetooth with Smartphone App,bathroom scale,MKSSBMI101,1.86441E+11,P1 - 23 / 70,No,Yes,
0156,https://www.ebay.com.au/itm/186430511238,No,nut driver set,TXND16S255,1.86431E+11,No,No,No,
0157,https://www.ebay.com.au/itm/186430511238,No,magnetic nut driver set,TXND16S255,1.86431E+11,No,No,No,
0158,https://www.ebay.com.au/itm/186430511238,No,impact nut driver set,TXND16S255,1.86431E+11,No,No,No,
0159,https://www.ebay.com.au/itm/186430511238,No,magnetic socket,TXND16S255,1.86431E+11,No,No,No,
0160,https://www.ebay.com.au/itm/186430602097,TOPEX 13Pcs Drill Socket Adapter Set Impact Socket Adapters Socket Extensions,socket set,TXSA13S254,1.86431E+11,P2 - 28 / 62,No,No,
0161,https://www.ebay.com.au/itm/186430602097,No,1/4 drive socket set,TXSA13S254,1.86431E+11,No,No,No,
0163,https://www.ebay.com.au/itm/186430602097,TOPEX 13Pcs Drill Socket Adapter Set Impact Socket Adapters Socket Extensions,socket extension set,TXSA13S254,1.86431E+11,P1 - 28 / 70,No,No,
0166,https://www.ebay.com.au/itm/186430602097,No,socket set,TXSA13S254,1.86431E+11,No,No,No,
0173,https://www.ebay.com.au/itm/186400077011,"TOPEX 12V Cordless Impact Wrench with 3/8-Inch Chuck,Torque Max 120 N.m, 6 Socks",impact wrench brushless,TXIW12V230,1.864E+11,P1 - 23 / 70,No,Yes,
0174,https://www.ebay.com.au/itm/186400077011,"TOPEX 12V Cordless Impact Wrench with 3/8-Inch Chuck,Torque Max 120 N.m, 6 Socks",cordless impact wrench,TXIW12V230,1.864E+11,P1 - 24 / 70,No,No,
0185,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,random orbital sander,TXES3N1098,1.864E+11,P1 - 67 / 70,No,No,
0186,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,sander electric,TXES3N1098,1.864E+11,P1 - 39 / 70,No,No,
0187,https://www.ebay.com.au/itm/186400059405,No,orbital sander,TXES3N1098,1.864E+11,No,No,No,
0188,https://www.ebay.com.au/itm/186400059405,Topex 3in1 200W Electric Finishing Sander Sanding Tool 6 Speeds 3 Sanding Base,sander,TXES3N1098,1.864E+11,P1 - 40 / 70,No,No,
